City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Bengkulu,ID,84.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
182,Luwero,UG,87.64,few clouds,0.8492,32.4731,Forgettable
186,Poum,NC,81.73,overcast clouds,-20.2333,164.0167,Gîte kajeon
188,Sabang,ID,83.17,broken clouds,5.8933,95.3214,Hotel Citra
189,Impfondo,CG,80.4,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
195,Gashua,NG,75.51,clear sky,12.870999999999999,11.0482,Forte Oil - Old Lorry Park
198,Yorosso,ML,75.09,scattered clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
204,Gariaband,IN,87.8,haze,20.635,82.0614,हंसराज ट्रैक्टर
206,Bac Lieu,VN,86.25,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
211,Kuliyapitiya,LK,86.0,scattered clouds,7.4688,80.0401,Rest House
214,Sumedang,ID,81.84,overcast clouds,-6.8592,107.9207,SPOT ON 2891 999 Guest House
217,Port Hedland,AU,87.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
221,Palu,ID,85.53,broken clouds,-0.8917,119.8707,Hotel Santika Palu
226,Itarema,BR,76.14,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
230,Batticaloa,LK,82.65,clear sky,7.7102,81.6924,Grand Star Guest House
234,Gondanglegi,ID,86.31,scattered clouds,-7.7479,112.0132,Gg. Munasir Homestay
236,Najran,SA,75.2,clear sky,17.4924,44.1277,محمد هادي ال فطيح
241,Bima,ID,84.2,overcast clouds,-8.4667,118.7167,Lambitu Hotel
243,Eyl,SO,84.31,scattered clouds,7.9803,49.8164,Amiin Hotel
246,Kampot,KH,89.6,few clouds,10.6167,104.1833,Two Moons Hotel
247,Yangambi,CD,78.67,overcast clouds,0.8102,24.4336,
248,Namatanai,PG,80.46,moderate rain,-3.6667,152.4333,Namatanai Hotel
251,Takoradi,GH,79.48,overcast clouds,4.8845,-1.7554,Raybow International Hotel
252,Tuy Hoa,VN,78.62,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
253,Moerai,PF,80.69,clear sky,-22.4333,-151.3333,Le Manotel
255,Meulaboh,ID,84.94,light rain,4.1363,96.1285,Kost Pria
260,Beruwala,LK,79.61,broken clouds,6.4788,79.9828,The Palms Hotel
262,Samarai,PG,84.0,overcast clouds,-10.6167,150.6667,Nuli Sapi
264,Sungaipenuh,ID,76.03,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
269,Lorengau,PG,82.13,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
272,Tema,GH,82.4,mist,5.667000000000001,-0.0166,Beulah Royale
274,Along,IN,83.37,clear sky,28.1667,94.7667,Hotel West
278,Pisco,PE,75.2,overcast clouds,-13.7,-76.2167,Hotel San Isidro Oficial
287,Dingle,PH,84.38,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
289,Karratha,AU,87.26,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
290,Charters Towers,AU,89.62,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
293,Salinopolis,BR,77.09,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
304,Omboue,GA,80.15,overcast clouds,-1.5746,9.2618,Hotel Olako
306,Tutoia,BR,76.73,overcast clouds,-2.7619,-42.2744,Pousada Guará's
329,Diu,IN,88.47,clear sky,20.7141,70.9822,Hotel Relax Inn
331,Keti Bandar,PK,82.54,clear sky,24.1447,67.4497,Haji laloo memon house
332,Pedasi,PA,76.41,overcast clouds,7.5333,-80.0333,Selina Pedasi
334,Galesong,ID,87.8,few clouds,-5.3166,119.3661,Sapriadi Appy
335,Labuan,MY,87.8,few clouds,5.2767,115.2417,Tiara Labuan Hotel
336,Porto Novo,BJ,82.4,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
339,Madang,PG,83.12,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
355,Naya Bazar,IN,79.68,clear sky,27.1333,88.2667,Club Mahindra Baiguney
358,Vanimo,PG,80.91,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
362,Malakal,SS,88.34,overcast clouds,9.5334,31.6605,Nile Palace Hotel
364,Poya,NC,81.36,overcast clouds,-21.35,165.15,
367,Sigli,ID,85.71,overcast clouds,5.3848,95.9609,Losmen Dua Mali
370,Sibi,PK,87.67,clear sky,29.5448,67.8764,Jail Superintendent House
372,Grand Gaube,MU,86.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
391,San Rafael,AR,75.69,broken clouds,-34.6177,-68.3301,Hotel San Rafael
393,Bokoro,TD,78.04,overcast clouds,12.3807,17.0568,
396,Voh,NC,80.6,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
402,Roebourne,AU,88.38,scattered clouds,-20.7833,117.1333,Harding River Caravan Park
418,Port Blair,IN,83.5,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
421,Gizo,SB,83.41,moderate rain,-8.103,156.8419,Imagination Island
425,Mocuba,MZ,75.52,overcast clouds,-16.8392,36.9856,Phama Lodge
433,Kawalu,ID,82.99,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
435,Suket,IN,84.2,haze,24.65,76.0333,Kota Stone Marble
437,Lethem,GY,75.13,overcast clouds,3.3803,-59.7968,Savannah Inn
442,Saint-Pierre,RE,87.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
445,Kieta,PG,80.83,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
451,Conceicao Do Araguaia,BR,75.2,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
452,Kavieng,PG,82.83,moderate rain,-2.5744,150.7967,Nusa Island Retreat
455,Ilhabela,BR,75.18,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
456,Alugan,PH,81.84,broken clouds,12.2188,125.4808,JM Lodge
457,Paciran,ID,84.99,scattered clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
475,Tura,IN,87.57,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
481,Manokwari,ID,80.56,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
482,Gulu,UG,86.94,overcast clouds,2.7746,32.299,ACHOLI INN
485,Lingao,CN,75.34,broken clouds,19.9103,109.6859,Lingao Ditai Inn
495,Sulangan,PH,82.26,clear sky,11.1373,123.7228,Maia's Beach Resort
