City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Dimbokro,CI,6.6451,-4.7048,75.61,93,100,2.66,overcast clouds
171,Kiama,AU,-34.6833,150.8667,71.01,67,38,1.01,scattered clouds
172,Hobyo,SO,5.3505,48.5268,83.64,63,19,19.48,light rain
173,Bani,DO,18.2833,-70.3333,71.01,83,4,1.01,clear sky
174,Rapid City,US,44.0805,-103.231,37.99,60,1,5.75,clear sky
175,Kodiak,US,57.79,-152.4072,30.2,69,1,19.57,clear sky
176,Hofn,IS,64.2539,-15.2082,33.44,91,98,16.69,overcast clouds
177,Chifeng,CN,42.2683,118.9636,51.08,44,96,15.39,overcast clouds
178,Rio Gallegos,AR,-51.6226,-69.2181,37.4,87,0,5.75,clear sky
179,Iwanai,JP,42.9744,140.5089,25.66,87,7,6.11,clear sky
180,Bengkulu,ID,-3.8004,102.2655,84.76,63,100,9.57,overcast clouds
181,Pak Phanang,TH,8.3511,100.202,91.0,89,40,5.75,scattered clouds
182,Luwero,UG,0.8492,32.4731,87.64,33,18,2.28,few clouds
183,Kaitangata,NZ,-46.2817,169.8464,64.99,71,95,5.64,moderate rain
184,Ketchikan,US,55.3422,-131.6461,35.6,100,90,6.91,light rain
185,Umba,RU,66.6871,34.3429,17.38,96,100,4.23,overcast clouds
186,Poum,NC,-20.2333,164.0167,81.73,76,100,12.8,overcast clouds
187,Si Sa Ket,TH,14.8333,104.3333,96.01,50,2,5.84,clear sky
188,Sabang,ID,5.8933,95.3214,83.17,67,61,3.71,broken clouds
189,Impfondo,CG,1.6381,18.0667,80.4,68,100,3.36,overcast clouds
190,San Luis,AR,-33.295,-66.3356,69.87,49,93,7.23,overcast clouds
191,Khor,RU,47.8861,134.9464,20.71,92,71,5.97,broken clouds
192,Ponta Do Sol,PT,32.6667,-17.1,55.99,63,4,3.0,clear sky
193,Aasiaat,GL,68.7098,-52.8699,17.53,83,100,6.71,overcast clouds
194,Oktyabrskoye,RU,43.0645,44.7417,41.0,70,20,11.18,few clouds
195,Gashua,NG,12.871,11.0482,75.51,17,3,16.44,clear sky
196,San Martin,AR,-33.081,-68.4681,66.2,94,100,4.61,overcast clouds
197,Tolaga Bay,NZ,-38.3667,178.3,71.53,67,87,6.96,moderate rain
198,Yorosso,ML,12.3536,-4.7761,75.09,19,29,5.17,scattered clouds
199,Aswan,EG,24.0934,32.907,63.72,30,0,16.31,clear sky
200,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.0,100,90,6.71,snow
201,Magadan,RU,59.5667,150.8,0.57,92,100,3.09,light snow
202,Raudeberg,NO,61.9875,5.1352,41.0,95,100,8.03,light rain
203,Marsh Harbour,BS,26.5412,-77.0636,73.87,79,91,15.3,overcast clouds
204,Gariaband,IN,20.635,82.0614,87.8,16,13,2.3,haze
205,Constitucion,CL,-35.3333,-72.4167,59.2,94,24,2.75,few clouds
206,Bac Lieu,VN,9.285,105.7244,86.25,56,4,20.36,clear sky
207,Leningradskiy,RU,69.3833,178.4167,-22.76,83,0,2.1,clear sky
208,Bull Savanna,JM,17.8868,-77.5902,71.85,90,31,7.63,scattered clouds
209,Boca Do Acre,BR,-8.7522,-67.3978,71.38,97,100,1.99,overcast clouds
210,Yulara,AU,-25.2406,130.9889,105.8,10,73,12.66,broken clouds
211,Kuliyapitiya,LK,7.4688,80.0401,86.0,66,40,9.22,scattered clouds
212,Grindavik,IS,63.8424,-22.4338,42.8,93,90,11.5,overcast clouds
213,Plettenberg Bay,ZA,-34.0527,23.3716,70.86,75,34,4.72,scattered clouds
214,Sumedang,ID,-6.8592,107.9207,81.84,74,100,4.81,overcast clouds
215,Ekhabi,RU,53.5102,142.9671,-3.3,74,0,11.16,clear sky
216,Airai,TL,-8.9266,125.4092,70.45,89,100,2.42,overcast clouds
217,Port Hedland,AU,-20.3167,118.5667,87.8,66,40,14.97,scattered clouds
218,Hay River,CA,60.8156,-115.7999,-0.4,85,80,3.44,broken clouds
219,Kincardine,GB,56.0667,-3.7167,37.4,87,90,5.75,overcast clouds
220,Do Gonbadan,IR,30.3586,50.7981,66.2,48,0,4.61,clear sky
221,Palu,ID,-0.8917,119.8707,85.53,77,67,4.63,broken clouds
222,Pangnirtung,CA,66.1451,-65.7125,-4.34,99,100,4.41,overcast clouds
223,Jingdezhen,CN,29.2947,117.2079,47.07,77,100,1.79,light rain
224,Qasigiannguit,GL,68.8193,-51.1922,28.4,43,40,11.5,scattered clouds
225,Tahe,CN,52.3333,124.7333,15.62,92,100,4.09,overcast clouds
226,Itarema,BR,-2.9248,-39.9167,76.14,88,93,8.1,overcast clouds
227,Souda,GR,35.4844,24.0744,50.0,81,75,11.5,broken clouds
228,Clyde River,CA,70.4692,-68.5914,-2.2,84,40,23.02,snow
229,Norman Wells,CA,65.282,-126.8329,-14.8,70,90,5.75,light snow
230,Batticaloa,LK,7.7102,81.6924,82.65,59,2,9.84,clear sky
231,Lompoc,US,34.6391,-120.4579,46.0,87,1,3.44,clear sky
232,Khani,GE,41.9563,42.9566,42.8,87,75,3.44,broken clouds
233,Alice Springs,AU,-23.7,133.8833,102.2,12,83,5.75,broken clouds
234,Gondanglegi,ID,-7.7479,112.0132,86.31,73,28,9.44,scattered clouds
235,Lengshuijiang,CN,27.6881,111.4294,53.49,67,100,2.51,light rain
236,Najran,SA,17.4924,44.1277,75.2,31,0,6.91,clear sky
237,Marsa Matruh,EG,31.3525,27.2453,57.2,51,75,16.11,broken clouds
238,Ovalle,CL,-30.5983,-71.2003,57.0,94,0,0.89,clear sky
239,Winnemucca,US,40.973,-117.7357,33.8,60,1,3.71,clear sky
240,China,MX,25.7,-99.2333,56.44,52,0,9.51,clear sky
241,Bima,ID,-8.4667,118.7167,84.2,76,100,3.22,overcast clouds
242,Zeya,RU,53.75,127.2667,3.34,90,100,3.71,light snow
243,Eyl,SO,7.9803,49.8164,84.31,56,26,22.86,scattered clouds
244,Lavrentiya,RU,65.5833,-171.0,-17.75,82,0,11.61,clear sky
245,Fairbanks,US,64.8378,-147.7164,5.0,78,90,3.44,light snow
246,Kampot,KH,10.6167,104.1833,89.6,58,20,14.97,few clouds
247,Yangambi,CD,0.8102,24.4336,78.67,47,100,1.59,overcast clouds
248,Namatanai,PG,-3.6667,152.4333,80.46,80,91,5.86,moderate rain
249,Novyy Kostek,RU,43.3353,46.8247,44.29,59,93,10.51,overcast clouds
250,Mitzic,GA,0.7821,11.549,72.14,93,100,2.13,overcast clouds
251,Takoradi,GH,4.8845,-1.7554,79.48,89,100,6.29,overcast clouds
252,Tuy Hoa,VN,13.0833,109.3,78.62,77,77,9.28,broken clouds
253,Moerai,PF,-22.4333,-151.3333,80.69,74,1,9.26,clear sky
254,San Cristobal,VE,7.7669,-72.225,63.09,86,63,0.45,broken clouds
255,Meulaboh,ID,4.1363,96.1285,84.94,59,10,10.27,light rain
256,Teya,RU,60.3778,92.6267,-2.25,81,9,3.42,clear sky
