City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Balykshi,KZ,2021-02-24 16:25:07,47.0667,51.8667,-2.2,71,15,20.13
115,Vila Franca Do Campo,PT,2021-02-24 16:25:07,37.7167,-25.4333,57.99,67,75,5.75
116,Huarmey,PE,2021-02-24 16:25:07,-10.0681,-78.1522,76.68,61,92,10.07
117,Edd,ER,2021-02-24 16:25:07,13.9297,41.6925,78.66,75,70,4.94
118,Nyzy,UA,2021-02-24 16:25:08,50.7828,34.7844,21.87,95,100,9.57
119,Khatanga,RU,2021-02-24 16:25:08,71.9667,102.5,-20.45,87,100,9.24
120,Ribeira Grande,PT,2021-02-24 16:25:08,38.5167,-28.7,57.2,58,40,11.5
121,Arona,ES,2021-02-24 16:25:08,28.0996,-16.681,73.0,56,20,27.63
122,Hamilton,US,2021-02-24 16:25:09,39.1834,-84.5333,60.8,39,40,18.41
123,North Platte,US,2021-02-24 16:25:09,41.1239,-100.7654,35.01,69,1,6.76
124,Zabid,YE,2021-02-24 16:25:09,14.1951,43.3152,79.88,70,77,7.47
125,Obo,CF,2021-02-24 16:25:09,5.3998,26.4869,86.7,18,100,5.68
126,Seymchan,RU,2021-02-24 16:25:09,62.8833,152.4333,-30.48,94,32,1.88
127,Blairmore,CA,2021-02-24 16:25:09,49.6,-114.4353,14.0,79,0,4.34
128,Berlevag,NO,2021-02-24 16:25:10,70.8578,29.0864,21.2,68,0,5.75
129,Thompson,CA,2021-02-24 16:25:10,55.7435,-97.8558,-11.2,77,20,5.75
130,Zaysan,KZ,2021-02-24 16:25:10,47.4667,84.8667,26.29,95,99,6.91
131,Longyearbyen,SJ,2021-02-24 16:25:10,78.2186,15.6401,33.8,86,75,2.3
132,Vao,NC,2021-02-24 16:25:10,-22.6667,167.4833,78.91,80,24,19.84
133,Pisco,PE,2021-02-24 16:24:39,-13.7,-76.2167,75.99,73,0,9.22
134,La Ronge,CA,2021-02-24 16:25:11,55.1001,-105.2842,12.2,79,100,4.61
135,Chicama,PE,2021-02-24 16:25:11,-7.8447,-79.1469,69.8,83,0,9.22
136,Maceio,BR,2021-02-24 16:24:42,-9.6658,-35.7353,89.6,55,75,20.71
137,Ancud,CL,2021-02-24 16:25:11,-41.8697,-73.8203,71.6,60,0,9.22
138,Turukhansk,RU,2021-02-24 16:21:15,65.8167,87.9833,-33.99,98,0,1.66
139,Moore,US,2021-02-24 16:22:31,35.3395,-97.4867,53.01,40,1,21.85
140,Port Blair,IN,2021-02-24 16:25:11,11.6667,92.75,77.99,64,22,2.24
141,Yakeshi,CN,2021-02-24 16:25:12,49.2833,120.7333,-8.57,95,54,7.72
142,Necochea,AR,2021-02-24 16:25:12,-38.5473,-58.7368,77.0,35,0,3.0
143,Rocha,UY,2021-02-24 16:25:12,-34.4833,-54.3333,79.97,45,0,9.31
144,Nouakchott,MR,2021-02-24 16:25:12,18.0858,-15.9785,98.6,6,0,4.61
145,Xining,CN,2021-02-24 16:25:12,36.6167,101.7667,37.69,72,100,3.58
146,Praya,CV,2021-02-24 16:25:13,14.9215,-23.5087,80.6,39,0,21.85
147,Mareeba,AU,2021-02-24 16:25:13,-17.0,145.4333,80.6,78,75,8.05
148,Araouane,ML,2021-02-24 16:25:13,18.9048,-3.5265,86.49,12,0,13.44
149,Gornopravdinsk,RU,2021-02-24 16:22:10,60.05,69.9,-21.89,85,43,9.42
150,Yantal,RU,2021-02-24 16:25:13,56.8471,105.2542,-13.88,100,98,1.5
151,Bandarbeyla,SO,2021-02-24 16:25:13,9.4942,50.8122,76.46,69,5,14.76
152,Mangrol,IN,2021-02-24 16:25:14,21.1167,70.1167,74.55,65,0,9.17
153,Saint-Philippe,RE,2021-02-24 16:25:14,-21.3585,55.7679,80.6,69,0,16.11
154,Sobolevo,RU,2021-02-24 16:25:14,54.4299,31.8996,27.37,99,100,5.39
155,Mataura,NZ,2021-02-24 16:25:14,-46.1927,168.8643,51.01,86,97,3.0
156,Barpali,IN,2021-02-24 16:25:14,21.2,83.5833,75.11,20,0,3.94
157,Bonavista,CA,2021-02-24 16:25:14,48.6499,-53.1147,34.0,93,100,8.05
158,Qaanaaq,GL,2021-02-24 16:25:14,77.484,-69.3632,6.35,91,100,4.52
159,Kaitangata,NZ,2021-02-24 16:25:15,-46.2817,169.8464,55.0,81,68,3.0
160,Saskylakh,RU,2021-02-24 16:25:15,71.9167,114.0833,-28.55,82,0,5.82
161,Meadow Lake,US,2021-02-24 16:25:15,34.8014,-106.5436,48.0,31,20,5.75
162,Caravelas,BR,2021-02-24 16:25:15,-17.7125,-39.2481,87.03,56,0,10.49
163,Tiarei,PF,2021-02-24 16:25:15,-17.5333,-149.3333,77.0,83,20,4.61
164,Sangmelima,CM,2021-02-24 16:25:15,2.9333,11.9833,82.72,48,88,3.69
165,Mnogovershinnyy,RU,2021-02-24 16:25:15,53.9353,139.9242,-3.48,93,100,6.55
166,Oranjemund,NA,2021-02-24 16:25:15,-28.55,16.4333,66.72,74,0,22.79
167,Morgan City,US,2021-02-24 16:25:16,29.6994,-91.2068,64.0,88,90,6.31
168,Qena,EG,2021-02-24 16:25:16,26.1615,32.7183,73.4,38,20,13.8
169,Faya,SA,2021-02-24 16:25:16,18.3851,42.4509,60.8,82,20,9.22
170,Fallon,US,2021-02-24 16:25:16,39.4735,-118.7774,24.8,63,1,3.44
171,Saint Anthony,US,2021-02-24 16:25:16,45.0205,-93.218,35.6,69,1,11.5
172,Bairiki,KI,2021-02-24 16:25:17,1.3292,172.9752,80.6,83,20,6.91
173,Republic,US,2021-02-24 16:25:17,37.12,-93.4802,51.8,46,1,12.66
174,Rio Gallegos,AR,2021-02-24 16:21:29,-51.6226,-69.2181,64.4,36,40,46.04
175,Cherskiy,RU,2021-02-24 16:25:17,68.75,161.3,-25.44,86,100,4.92
176,Cockburn Town,TC,2021-02-24 16:25:17,21.4612,-71.1419,80.6,65,40,14.97
177,Ayagoz,KZ,2021-02-24 16:25:17,47.9714,80.4392,24.98,97,100,14.76
178,Lebu,CL,2021-02-24 16:25:18,-37.6167,-73.65,65.48,62,0,17.0
179,Sosnovo-Ozerskoye,RU,2021-02-24 16:25:18,52.5249,111.5418,-9.54,90,12,1.54
180,Grand Gaube,MU,2021-02-24 16:25:18,-20.0064,57.6608,78.01,74,52,4.0
181,Pahrump,US,2021-02-24 16:25:18,36.2083,-115.9839,52.0,20,0,2.17
182,Hithadhoo,MV,2021-02-24 16:22:32,-0.6,73.0833,82.96,77,100,10.11
183,Saldanha,ZA,2021-02-24 16:25:18,-33.0117,17.9442,71.6,56,0,25.32
184,Mackenzie,CA,2021-02-24 16:25:18,55.2999,-123.1698,17.6,79,1,10.36
185,Ambovombe,MG,2021-02-24 16:25:19,-25.1667,46.0833,81.21,72,2,12.37
186,Gorin,RU,2021-02-24 16:25:19,51.1983,136.6669,3.24,94,100,3.33
187,Ulety,RU,2021-02-24 16:25:19,51.3572,112.4849,-1.97,86,89,2.46
188,Caramay,PH,2021-02-24 16:25:19,10.1815,119.236,77.7,85,0,1.79
189,Nyrob,RU,2021-02-24 16:25:19,60.733,56.7202,-14.4,88,13,4.09
190,Yarada,IN,2021-02-24 16:25:19,17.65,83.2667,77.0,78,20,2.3
191,Bokoro,TD,2021-02-24 16:25:19,12.3807,17.0568,93.97,11,0,13.8
192,San Rafael Del Sur,NI,2021-02-24 16:25:20,11.8485,-86.4384,84.2,58,75,23.02
193,Namatanai,PG,2021-02-24 16:25:20,-3.6667,152.4333,78.73,83,100,7.07
194,Palana,RU,2021-02-24 16:25:20,59.1167,159.9667,-13.23,90,1,13.0
195,Fecamp,FR,2021-02-24 16:25:20,49.7579,0.3746,62.6,51,0,11.5
196,Geraldton,AU,2021-02-24 16:25:20,-28.7667,114.6,71.6,88,0,12.66
197,Greeneville,US,2021-02-24 16:21:00,36.1632,-82.831,62.6,27,1,8.05
198,Lozuvatka,UA,2021-02-24 16:25:20,48.0571,33.2858,24.8,68,90,8.95
199,Pecos,US,2021-02-24 16:25:21,31.4229,-103.4932,53.6,32,1,10.36
200,Meulaboh,ID,2021-02-24 16:25:21,4.1363,96.1285,77.58,84,77,4.43
201,Lata,PT,2021-02-24 16:25:21,40.1629,-8.3327,66.99,59,96,3.0
202,Manta,EC,2021-02-24 16:21:21,-0.95,-80.7333,82.4,74,90,4.61
203,Belle Glade,US,2021-02-24 16:25:22,26.6845,-80.6676,78.01,72,10,3.0
204,Nantucket,US,2021-02-24 16:21:34,41.2835,-70.0995,44.6,65,1,14.97
205,Ojinaga,MX,2021-02-24 16:25:22,29.5667,-104.4167,64.99,38,1,1.57
206,Vallenar,CL,2021-02-24 16:25:22,-28.5708,-70.7581,79.34,39,8,8.79
207,Ngaoundere,CM,2021-02-24 16:25:22,7.3167,13.5833,85.91,14,6,10.04
208,Boly,HU,2021-02-24 16:25:23,45.9672,18.5183,59.0,58,0,4.61
209,Margate,GB,2021-02-24 16:21:13,51.3813,1.3862,57.99,72,100,1.99
210,Les Cayes,HT,2021-02-24 16:25:23,18.2,-73.75,80.71,67,28,11.77
211,Hailey,US,2021-02-24 16:25:23,43.5196,-114.3153,19.4,49,75,9.22
212,Sao Jose Da Coroa Grande,BR,2021-02-24 16:25:24,-8.8978,-35.1478,84.58,65,41,11.01
213,Balabac,PH,2021-02-24 16:25:24,7.9868,117.0645,79.27,83,14,7.83
214,Kahului,US,2021-02-24 16:21:32,20.8947,-156.47,71.6,73,20,12.66
215,Lompoc,US,2021-02-24 16:22:46,34.6391,-120.4579,55.99,76,1,4.61
216,Dukat,RU,2021-02-24 16:25:24,62.55,155.55,-29.51,84,99,5.08
217,Luena,AO,2021-02-24 16:25:24,-11.7833,19.9167,73.4,83,40,6.91
218,Ca Mau,VN,2021-02-24 16:20:58,9.1769,105.15,72.95,82,5,2.59
219,Port Keats,AU,2021-02-24 16:25:24,-14.25,129.55,75.99,92,100,11.3
220,Aykhal,RU,2021-02-24 16:25:25,66.0,111.5,-35.19,81,12,4.34
221,Hirara,JP,2021-02-24 16:25:25,24.8,125.2833,71.02,80,91,18.37
222,Bosaso,SO,2021-02-24 16:25:25,11.2842,49.1816,75.6,66,0,6.33
223,Severo-Kurilsk,RU,2021-02-24 16:25:25,50.6789,156.125,23.52,73,100,3.71
224,Zlobin,HR,2021-02-24 16:25:25,45.2924,14.6541,71.6,21,0,2.3
225,Swan Hill,AU,2021-02-24 16:25:25,-35.3378,143.5544,58.1,52,0,7.36
226,Kyaikkami,MM,2021-02-24 16:25:25,16.08,97.5675,79.12,76,59,9.42
227,Gat,IL,2021-02-24 16:25:25,31.61,34.7642,62.01,100,0,7.7
228,Ribeira Do Pombal,BR,2021-02-24 16:25:26,-10.8344,-38.5358,92.14,40,48,6.98
229,Gigmoto,PH,2021-02-24 16:25:26,13.7796,124.39,77.68,82,10,5.73
230,Lavrentiya,RU,2021-02-24 16:25:26,65.5833,-171.0,-11.22,91,36,13.06
231,Tiksi,RU,2021-02-24 16:25:26,71.6872,128.8694,-25.58,94,71,5.44
232,Calabozo,VE,2021-02-24 16:25:26,8.9242,-67.4293,92.89,35,22,11.83
233,Galegos,PT,2021-02-24 16:25:26,41.5627,-8.572,63.0,67,0,12.66
234,Faanui,PF,2021-02-24 16:25:27,-16.4833,-151.75,81.5,69,61,8.41
235,Saint George,US,2021-02-24 16:25:27,37.1041,-113.5841,41.0,38,1,4.61
236,Upernavik,GL,2021-02-24 16:25:27,72.7868,-56.1549,9.23,84,35,5.79
237,Richards Bay,ZA,2021-02-24 16:25:28,-28.783,32.0377,76.89,85,88,5.41
238,Nueva Loja,EC,2021-02-24 16:25:28,0.0847,-76.8828,78.8,83,90,4.61
239,Doha,QA,2021-02-24 16:25:28,25.2867,51.5333,70.0,78,75,8.05
240,Port Lincoln,AU,2021-02-24 16:25:28,-34.7333,135.8667,59.0,72,80,10.85
241,Dingle,PH,2021-02-24 16:25:28,10.9995,122.6711,75.67,86,0,6.33
242,Bahia Honda,CU,2021-02-24 16:25:28,22.9036,-83.1592,80.49,61,65,6.4
243,Ustye,RU,2021-02-24 16:25:29,59.6304,39.736,6.66,94,100,9.15
244,Acapulco,MX,2021-02-24 16:25:29,16.8634,-99.8901,86.0,45,75,3.27
245,Promyshlennaya,RU,2021-02-24 16:25:29,54.9159,85.6385,6.8,85,90,8.95
246,Jork,DE,2021-02-24 16:25:29,53.5333,9.6833,63.0,48,0,9.22
247,Ulaangom,MN,2021-02-24 16:25:29,49.9811,92.0667,0.93,90,97,3.31
248,Skole,UA,2021-02-24 16:25:29,49.0372,23.5135,46.99,65,64,3.94
249,Sorland,NO,2021-02-24 16:25:29,67.667,12.6934,44.6,93,75,26.46
250,Petropavlovsk-Kamchatskiy,RU,2021-02-24 16:25:30,53.0452,158.6483,12.2,62,20,8.95
251,Chilca,PE,2021-02-24 16:25:30,-12.5211,-76.7372,73.99,73,0,6.91
252,Monrovia,LR,2021-02-24 16:25:30,6.3005,-10.7969,87.8,62,75,8.57
253,Dryden,CA,2021-02-24 16:25:20,49.7833,-92.7503,12.2,73,1,5.75
254,Nanortalik,GL,2021-02-24 16:25:30,60.1432,-45.2371,26.96,84,90,1.95
255,Baykit,RU,2021-02-24 16:25:30,61.67,96.37,-23.12,81,30,1.45
256,Matara,LK,2021-02-24 16:25:31,5.9485,80.5353,76.98,87,99,5.28
257,Hami,CN,2021-02-24 16:25:31,42.8,93.45,45.5,52,0,7.47
258,Ahuimanu,US,2021-02-24 16:25:31,21.4447,-157.8378,73.4,73,75,12.66
259,Vestmannaeyjar,IS,2021-02-24 16:25:31,63.4427,-20.2734,41.0,81,40,8.05
260,Luba,GQ,2021-02-24 16:25:31,3.4568,8.5547,86.0,70,20,8.05
261,Imbituba,BR,2021-02-24 16:25:31,-28.24,-48.6703,78.8,78,75,8.05
262,Seoul,KR,2021-02-24 16:23:08,37.5683,126.9778,33.8,59,0,2.3
263,Bubaque,GW,2021-02-24 16:25:32,11.2833,-15.8333,78.58,67,0,13.98
264,Moree,AU,2021-02-24 16:25:32,-29.4667,149.85,71.6,78,40,11.5
265,Tatawin,TN,2021-02-24 16:25:32,32.9297,10.4518,62.6,45,20,11.5
266,Nyurba,RU,2021-02-24 16:25:32,63.2842,118.3319,-22.65,98,92,4.16
267,Boguchany,RU,2021-02-24 16:25:32,58.3814,97.4531,-18.11,84,0,3.89
268,Gobabis,NA,2021-02-24 16:25:32,-22.45,18.9667,81.86,36,99,6.04
269,Khorixas,NA,2021-02-24 16:25:33,-20.3667,14.9667,92.08,14,13,20.69
270,Guerrero Negro,MX,2021-02-24 16:25:33,27.9769,-114.0611,61.83,61,28,8.01
271,Sisimiut,GL,2021-02-24 16:25:33,66.9395,-53.6735,15.55,86,0,7.92
272,Toamasina,MG,2021-02-24 16:25:33,-18.1667,49.3833,78.8,94,75,4.61
273,Naze,JP,2021-02-24 16:25:33,28.3667,129.4833,62.19,75,8,14.7
